Sheet,Name,Type,Difficulty,Size,Game,Health,Damage,Goal Type,Goal,Ability,File,Tag,Phases,Confidence,Why this pairing
enemies,Aleax,Traditional,2-Medium,1x1,NetHack,1,2,Feat,Pray,N/A,Aleax,,,ok,"A hostile minion an angered lawful god sends after you — prayer gone wrong, made flesh"
bosses,The One Who Waits,Action,4-Insane,2x2,Cult of the Lamb,1,9,Feat,Become religious,N/A,TheOneWhoWaits,god,,ok,The final boss who makes you a cult leader
enemies,Aligned Cleric,Traditional,1-Low,1x1,NetHack,1,1,Feat,Worship at an altar,N/A,AlignedCleric,,,ok,Tends the co-aligned temple altar where worship and sacrifice happen
bosses,Hexaghost,Deckbuilder,3-High,2x2,Slay the Spire,1,7,Feat,Complete a ritual with multiple steps,N/A,Hexaghost,fire,,ok,"Six flames lit one per attack, then Inferno, then snuffed"
bosses,Satan,Action,3-High,2x2,The Binding of Isaac,1,7,Feat,Make a deal with a devil,N/A,Satan,god,,ok,Sheol's boss; Devil Rooms trade heart containers for items
enemies,Krampus,Action,1-Low,1x1,The Binding of Isaac,1,1,Feat,Trade health for resources,N/A,Krampus,,,ok,The Devil Room's boss — the room where items cost heart containers
enemies,Uriel,Action,1-Low,1x1,The Binding of Isaac,1,1,Feat,Deal holy damage,N/A,Uriel,,,ok,Angel Room mini-boss; fires beams of light in a cross pattern
enemies,Skeleton,Traditional,1-Low,1x1,Crypt of the NecroDancer,1,1,Bounty,Defeat a skeleton,N/A,Skeleton,"undead, skeleton",,ok,The genre's baseline skeleton; the Ball x Pit three are all ball-specific
enemies,Zombie,Traditional,1-Low,1x1,Crypt of the NecroDancer,1,1,Bounty,Defeat a zombie,N/A,Zombie,"undead, zombie",,ok,"Slow, relentless, never stops walking at you"
bosses,Awakened One,Deckbuilder,3-High,2x2,Slay the Spire,1,7,Feat,Resurrect yourself 3 times and win,N/A,AwakenedOne,undead,,ok,"Dies, then stands back up with Curiosity"
enemies,Necromancer,Traditional,1-Low,1x1,Shattered Pixel Dungeon,1,1,Feat,Attack a deceased enemy,N/A,Necromancer,undead,,ok,Raises a skeleton from a corpse and re-raises it
enemies,Ghost,Traditional,2-Medium,1x1,Crypt of the NecroDancer,1,2,Feat,Gain an extra life,N/A,Ghost,"undead, ghost",,ok,"Killed, then returns as the thing it was"
enemies,Mummy,Traditional,2-Medium,1x1,NetHack,1,2,Feat,Bury a body,N/A,Mummy,undead,,ok,Wrapped and interred; graves are a real dungeon feature you can dig
enemies,Violet Fungus,Traditional,1-Low,1x1,NetHack,1,1,Fetch,Obtain a mushroom,N/A,VioletFungus,mushroom,,ok,A mushroom that fights back; its corpse is the mushroom
enemies,Slime Creature,Traditional,2-Medium,1x1,Dungeon Crawl Stone Soup,1,2,Feat,Double your max health,N/A,SlimeCreature,slime,,ok,"Two merge into a large slime creature, three into a very large one"
